model;nb_words;k;weights;distance;precision;recall;f1_score;auc
timbl;150;2;no weights;inverse linear;0.70504;0.98;0.8200864074443337;0.785
timbl;150;10;no weights;inverse linear;0.57088;0.99333;0.725058950396686;0.62333
timbl;150;1;gain ratio;exponential decay;0.75135;0.92667;0.8298512586262381;0.81
timbl;150;2;gain ratio;exponential decay;0.73421;0.93;0.8205879065742905;0.79667
timbl;150;10;gain ratio;exponential decay;0.7185199999999999;0.97;0.8255328927107762;0.795
timbl;150;1;no weights;exponential decay;0.72111;0.95667;0.822353709902371;0.79333
timbl;150;2;no weights;exponential decay;0.71014;0.98;0.8235260984297159;0.79
timbl;150;10;no weights;exponential decay;0.65066;0.99333;0.7862822739797687;0.73
timbl;200;1;gain ratio;equal;0.76022;0.93;0.8365829300327768;0.81833
timbl;200;2;gain ratio;equal;0.75467;0.94333;0.838519259246172;0.81833
timbl;200;10;gain ratio;equal;0.7275;0.97;0.8314285714285715;0.80333
timbl;200;1;no weights;equal;0.72917;0.93333;0.8187142689924811;0.79333
timbl;200;2;no weights;equal;0.71499;0.97;0.8231981198701476;0.79167
timbl;200;10;no weights;equal;0.57529;0.99333;0.7286058008950541;0.63
timbl;200;1;gain ratio;inverse distance;0.76022;0.93;0.8365829300327768;0.81833
timbl;200;2;gain ratio;inverse distance;0.75676;0.93333;0.8358215370779071;0.81667
timbl;200;10;gain ratio;inverse distance;0.73232;0.96667;0.8333324791788062;0.80667
timbl;200;1;no weights;inverse distance;0.72917;0.93333;0.8187142689924811;0.79333
timbl;200;2;no weights;inverse distance;0.72431;0.96333;0.8268938307932971;0.79833
timbl;200;10;no weights;inverse distance;0.58449;0.98;0.7322516602854604;0.64167
timbl;200;1;gain ratio;inverse linear;0.7608699999999999;0.93333;0.8383222725770275;0.82
timbl;200;2;gain ratio;inverse linear;0.75603;0.94;0.8380372988685342;0.81833
timbl;200;10;gain ratio;inverse linear;0.74235;0.97;0.8410424270739043;0.81667
timbl;200;1;no weights;inverse linear;0.7249399999999999;0.94;0.818580369262556;0.79167
timbl;200;2;no weights;inverse linear;0.72569;0.97;0.8302452688875914;0.80167
timbl;200;10;no weights;inverse linear;0.59245;0.99333;0.7422194232491266;0.655
timbl;200;1;gain ratio;exponential decay;0.76022;0.93;0.8365829300327768;0.81833
timbl;200;2;gain ratio;exponential decay;0.75603;0.94;0.8380372988685342;0.81833
timbl;200;10;gain ratio;exponential decay;0.7275;0.97;0.8314285714285715;0.80333
timbl;200;1;no weights;exponential decay;0.72917;0.93333;0.8187142689924811;0.79333
timbl;200;2;no weights;exponential decay;0.725;0.96667;0.8285726530588117;0.8
timbl;200;10;no weights;exponential decay;0.68433;0.99;0.8092630485029834;0.76667
timbl;250;1;gain ratio;equal;0.75881;0.93333;0.837070381055941;0.81833
timbl;250;2;gain ratio;equal;0.75532;0.94667;0.8402385259607872;0.82
timbl;250;10;gain ratio;equal;0.7367100000000001;0.97;0.8374108079287049;0.81167
timbl;250;1;no weights;equal;0.72895;0.92333;0.8147062283632314;0.79
timbl;250;2;no weights;equal;0.71358;0.96333;0.8198567858740183;0.78833
timbl;250;10;no weights;equal;0.59091;0.99667;0.7419371240504415;0.65333
timbl;250;1;gain ratio;inverse distance;0.75881;0.93333;0.837070381055941;0.81833
timbl;250;2;gain ratio;inverse distance;0.75603;0.94;0.8380372988685342;0.81833
timbl;250;10;gain ratio;inverse distance;0.74485;0.96333;0.8401179623927221;0.81667
timbl;250;1;no weights;inverse distance;0.72895;0.92333;0.8147062283632314;0.79
timbl;250;2;no weights;inverse distance;0.7215199999999999;0.95;0.8201445391021346;0.79167
timbl;250;10;no weights;inverse distance;0.60163;0.98667;0.7474787786942014;0.66667
timbl;250;1;gain ratio;inverse linear;0.75741;0.93667;0.8375557526208915;0.81833
timbl;250;2;gain ratio;inverse linear;0.75603;0.94;0.8380372988685342;0.81833
timbl;250;10;gain ratio;inverse linear;0.7519600000000001;0.96;0.843339330358186;0.8216700000000001
timbl;250;1;no weights;inverse linear;0.72468;0.93;0.8146014939444485;0.78833
timbl;250;2;no weights;inverse linear;0.72222;0.95333;0.8218364030915223;0.79333
timbl;250;10;no weights;inverse linear;0.61443;0.99333;0.7592324126735335;0.685
timbl;250;1;gain ratio;exponential decay;0.75881;0.93333;0.837070381055941;0.81833
timbl;250;2;gain ratio;exponential decay;0.75467;0.94333;0.838519259246172;0.81833
timbl;250;10;gain ratio;exponential decay;0.74425;0.97;0.8422604637596617;0.81833
timbl;250;1;no weights;exponential decay;0.7270300000000001;0.92333;0.8135056713686711;0.78833
timbl;250;2;no weights;exponential decay;0.71939;0.94;0.8150303424752469;0.78667
timbl;250;10;no weights;exponential decay;0.68119;0.99;0.8070633500679156;0.7633300000000001
timbl;300;1;gain ratio;equal;0.79718;0.94333;0.8641189184779174;0.85167
timbl;300;2;gain ratio;equal;0.79282;0.95667;0.8670722432251684;0.8533299999999999
timbl;300;10;gain ratio;equal;0.75844;0.97333;0.8525524812186376;0.83167
timbl;300;1;no weights;equal;0.78889;0.94667;0.8606080991726013;0.84667
timbl;300;2;no weights;equal;0.74425;0.97;0.8422604637596617;0.81833
timbl;300;10;no weights;equal;0.6119100000000001;0.99333;0.7573055247813412;0.68167
