model;nb_words;k;weights;distance;precision;recall;f1_score;auc
timbl;700;10;gain ratio;inverse distance;0.80055;0.97667;0.8798833779723388;0.86667
timbl;700;1;no weights;inverse distance;0.8313299999999999;0.92;0.873420314846431;0.86667
timbl;700;2;no weights;inverse distance;0.8250700000000001;0.94333;0.8802457397647591;0.8716700000000001
timbl;700;10;no weights;inverse distance;0.68519;0.98667;0.8087476431040876;0.76667
timbl;700;1;gain ratio;inverse linear;0.8134100000000001;0.93;0.8678065400565559;0.8583299999999999
timbl;700;2;gain ratio;inverse linear;0.7942899999999999;0.92667;0.8553885207093715;0.8433299999999999
timbl;700;10;gain ratio;inverse linear;0.79666;0.95333;0.8679819630969321;0.855
timbl;700;1;no weights;inverse linear;0.81176;0.92;0.862497343742782;0.8533299999999999
timbl;700;2;no weights;inverse linear;0.80516;0.93667;0.8659504282277833;0.855
timbl;700;10;no weights;inverse linear;0.6853100000000001;0.98;0.8065811170292619;0.765
timbl;700;1;gain ratio;exponential decay;0.81579;0.93;0.8691591772206281;0.86
timbl;700;2;gain ratio;exponential decay;0.79083;0.92;0.8505387443521566;0.8383299999999999
timbl;700;10;gain ratio;exponential decay;0.7861;0.98;0.872405866032501;0.85667
timbl;700;1;no weights;exponential decay;0.8214299999999999;0.92;0.8679253257380429;0.86
timbl;700;2;no weights;exponential decay;0.75798;0.95;0.8431960561599081;0.8233299999999999
timbl;700;10;no weights;exponential decay;0.60632;0.96;0.7432289698145972;0.66833
timbl test;50;10;gain ratio;inverse distance;0.71612;0.76913;0.7416790110755764;0.72343
timbl test;100;10;gain ratio;inverse distance;0.7319899999999999;0.95609;0.829164872636368;0.79303
timbl test;150;10;gain ratio;inverse distance;0.7529100000000001;0.97491;0.8496480977185125;0.81835
timbl test;200;10;gain ratio;inverse distance;0.76337;0.96738;0.8533512877076412;0.8252
timbl test;250;10;gain ratio;inverse distance;0.77177;0.96738;0.8585744330276284;0.8325
timbl test;300;10;gain ratio;inverse distance;0.78049;0.96361;0.8624367512183934;0.83857
timbl test;350;10;gain ratio;inverse distance;0.78985;0.97616;0.8731773613965946;0.8508100000000001
timbl test;400;10;gain ratio;inverse distance;0.78773;0.98243;0.8743724679125051;0.8513
timbl test;450;10;gain ratio;inverse distance;0.7873;0.97992;0.8731125903962156;0.85004
timbl test;500;10;gain ratio;inverse distance;0.78708;0.97867;0.8724809102081268;0.84941
timbl test;550;10;gain ratio;inverse distance;0.79205;0.97491;0.8740180485126998;0.8521700000000001
timbl test;600;10;gain ratio;inverse distance;0.79448;0.97491;0.8754955061348826;0.85416
timbl test;650;10;gain ratio;inverse distance;0.7930699999999999;0.97616;0.8751414018527834;0.85346
timbl test;700;10;gain ratio;inverse distance;0.79184;0.97365;0.8733836113486907;0.85155
timbl test;50;1;gain ratio;inverse distance;0.73988;0.75659;0.7481417057475258;0.7377100000000001
timbl test;100;1;gain ratio;inverse distance;0.75103;0.91593;0.8253238324854825;0.7974899999999999
timbl test;150;1;gain ratio;inverse distance;0.78683;0.94479;0.8586053703468428;0.8371200000000001
timbl test;200;1;gain ratio;inverse distance;0.79008;0.93977;0.8584483991097493;0.8379200000000001
timbl test;250;1;gain ratio;inverse distance;0.79787;0.94103;0.8635569683133014;0.84452
timbl test;300;1;gain ratio;inverse distance;0.81505;0.95107;0.877822122505832;0.8614700000000001
timbl test;350;1;gain ratio;inverse distance;0.81418;0.95107;0.8773172894490866;0.8608100000000001
timbl test;400;1;gain ratio;inverse distance;0.81525;0.95232;0.8784703066922386;0.8621
timbl test;450;1;gain ratio;inverse distance;0.81798;0.9473;0.8779031700353485;0.86225
timbl test;500;1;gain ratio;inverse distance;0.82225;0.94605;0.8798163348979245;0.86493
timbl test;550;1;gain ratio;inverse distance;0.82116;0.94479;0.8786474774483988;0.86364
timbl test;600;1;gain ratio;inverse distance;0.82385;0.94479;0.8801850478333635;0.8656299999999999
timbl test;650;1;gain ratio;inverse distance;0.82404;0.94605;0.8808400047455214;0.86626
timbl test;700;1;gain ratio;inverse distance;0.8234600000000001;0.94228;0.878872188204379;0.8643799999999999
timbl test;50;5;gain ratio;inverse distance;0.72024;0.75910;0.73916;0.72371
timbl test;100;5;gain ratio;inverse distance;0.74364;0.95358;0.83562;0.80305
timbl test;150;5;gain ratio;inverse distance;0.76476;0.95859;0.85078;0.82346
timbl test;200;5;gain ratio;inverse distance;0.78279;0.95859;0.86182;0.83871
timbl test;250;5;gain ratio;inverse distance;0.77801;0.94981;0.85537;0.83167
timbl test;300;5;gain ratio;inverse distance;0.80485;0.95734;0.87450;0.85599
timbl test;350;5;gain ratio;inverse distance;0.80126;0.96110;0.87393;0.85456
timbl test;400;5;gain ratio;inverse distance;0.79979;0.95734;0.87150;0.85201
timbl test;450;5;gain ratio;inverse distance;0.80207;0.97114;0.87855;0.85891
timbl test;500;5;gain ratio;inverse distance;0.80083;0.97365;0.87882;0.85884
timbl test;550;5;gain ratio;inverse distance;0.79671;0.97365;0.87634;0.85553
timbl test;600;5;gain ratio;inverse distance;0.79979;0.97240;0.87769;0.85755
timbl test;650;5;gain ratio;inverse distance;0.79958;0.96110;0.87293;0.85323
timbl test;700;5;gain ratio;inverse distance;0.79501;0.95859;0.86917;0.84866
timbl test;50;2;gain ratio;inverse distance;0.73537;0.75659;0.74583;0.73439
timbl test;100;2;gain ratio;inverse distance;0.75381;0.92974;0.83258;0.80439
timbl test;150;2;gain ratio;inverse distance;0.78019;0.94856;0.85617;0.83303
timbl test;200;2;gain ratio;inverse distance;0.78542;0.94605;0.85828;0.83642
timbl test;250;2;gain ratio;inverse distance;0.79663;0.94856;0.86598;0.84629
timbl test;300;2;gain ratio;inverse distance;0.81263;0.95232;0.87695;0.86011
timbl test;350;2;gain ratio;inverse distance;0.80957;0.95483;0.87622;0.85872
timbl test;400;2;gain ratio;inverse distance;0.80896;0.95107;0.87428;0.85683
timbl test;450;2;gain ratio;inverse distance;0.81553;0.94856;0.87703;0.86088
timbl test;500;2;gain ratio;inverse distance;0.81887;0.94730;0.87842;0.86291
timbl test;550;2;gain ratio;inverse distance;0.82514;0.94730;0.88201;0.86755
timbl test;600;2;gain ratio;inverse distance;0.82334;0.94730;0.88098;0.86622
timbl test;650;2;gain ratio;inverse distance;0.82372;0.94981;0.88228;0.86748
timbl test;700;2;gain ratio;inverse distance;0.81887;0.94730;0.87842;0.86291
