model_name,nb_words,precision,recall,f1_score,auc
Multinomial NB Boolean,350,0.8226299694189603,0.8966666666666666,0.8580542264752792,0.8513433667781493
Multivariate Bernoulli NB,350,0.7859778597785978,0.71,0.7460595446584939,0.7580100334448161
Gaussian NB Boolean,350,0.8432835820895522,0.7533333333333333,0.7957746478873239,0.8064325529542922
Multinomial NB Boolean,300,0.8276923076923077,0.8966666666666666,0.8608,0.8546878483835004
Multivariate Bernoulli NB,300,0.7753623188405797,0.7133333333333334,0.7430555555555556,0.7529877369007805
Gaussian NB Boolean,300,0.8470149253731343,0.7566666666666667,0.7992957746478873,0.8097714604236345
Multinomial NB Boolean,250,0.7837078651685393,0.93,0.850609756097561,0.83623745819398
Multivariate Bernoulli NB,250,0.7672727272727272,0.7033333333333334,0.7339130434782608,0.7446432552954293
Gaussian NB Boolean,250,0.8458646616541353,0.75,0.7950530035335691,0.8064381270903009
Multinomial NB Boolean,200,0.7673130193905817,0.9233333333333332,0.838124054462935,0.8211984392419174
Multivariate Bernoulli NB,200,0.7703703703703704,0.6933333333333334,0.7298245614035088,0.7429877369007805
Gaussian NB Boolean,200,0.8404669260700389,0.72,0.7755834829443448,0.7914381270903009
Multinomial NB Boolean,150,0.7445054945054945,0.9033333333333332,0.8162650602409638,0.7961482720178372
Multivariate Bernoulli NB,150,0.7509157509157509,0.6833333333333333,0.7155322862129145,0.7279542920847268
Gaussian NB Boolean,150,0.80859375,0.69,0.7446043165467625,0.7630602006688963
Multinomial NB Boolean,100,0.7127371273712737,0.8766666666666667,0.7862481315396114,0.7610758082497213
Multivariate Bernoulli NB,100,0.746268656716418,0.6666666666666666,0.7042253521126761,0.7196209587513935
Gaussian NB Boolean,100,0.8189300411522634,0.6633333333333333,0.7329650092081029,0.7580880713489409
Multinomial NB Boolean,50,0.6343825665859564,0.8733333333333333,0.7349228611500701,0.6841583054626533
Multivariate Bernoulli NB,50,0.7651821862348178,0.63,0.6910420475319926,0.7180100334448158
Gaussian NB Boolean,50,0.7824267782426778,0.6233333333333333,0.6938775510204082,0.7247101449275362
Multinomial NB TF,700,0.8309859154929577,0.19732441471571907,0.3189189189189189,0.5786622073578596
Multinomial NB TF,650,0.8235294117647058,0.18729096989966554,0.3051771117166212,0.5736454849498327
Multinomial NB TF,600,0.8125,0.17391304347826084,0.2865013774104683,0.5669565217391304
Multinomial NB TF,550,0.7936507936507936,0.16722408026755853,0.27624309392265195,0.5619453734671126
Multinomial NB TF,500,0.7450980392156863,0.12709030100334448,0.21714285714285714,0.5418784838350055
Multinomial NB TF,450,0.7291666666666666,0.11705685618729098,0.2017291066282421,0.5368617614269787
